timestamp,model,ref,val,similarity,shot,train-data,memo,mAP,IOU,AP0,AP1,AP2,AP3,AP4,AP5,AP6,AP7,AP8,AP9
2019-12-01 1:11,voc 11 classes,./references/images_trimed_10,./references/all_10,cosine,10,voc 11,,0.410528824,0.501983685,0.152669553,0.502086634,0.751152948,0.527696825,0.140346959,0.474953924,0.401753621,0.258270151,0.579943698,0.316413929
2019-12-01 1:24,voc 11 classes,./references/images_trimed_10,./references/all_10,cosine,3,voc 11,,0.428129903,0.493709435,0.287156035,0.598616171,0.763650107,0.531260331,0.090909091,0.375607968,0.602046543,0.322036802,0.516205334,0.193810648
2019-12-01 1:30,voc 11 classes,./references/images_trimed_10-1shot,./references/all_10,cosine,1,voc 11,,0.358988335,0.474224291,0.310185011,0.289792663,0.565885362,0.530155294,0.099850969,0.325372227,0.376291332,0.262858683,0.602395477,0.227096328
2019-12-01 1:43,voc 11 classes,./references/images_trimed_10,./references/all_10,cosine,10,voc 11,,0.416916437,0.493886128,0.202048267,0.491176845,0.747277757,0.516858992,0.167468211,0.377489177,0.630142577,0.313461538,0.440758641,0.282482366
2019-12-01 2:16,voc 11 classes,./references/images_trimed_10,./references/all_10,cosine,10,voc 11,,0.428365273,0.500281114,0.220407107,0.589014465,0.759447722,0.498243906,0.098484848,0.40729923,0.553185216,0.254297329,0.571221376,0.332051531
2019-12-01 2:48,voc 11 classes,./references/images_trimed_10,./references/all_10,cosine,10,voc 11,,0.418421305,0.506381643,0.341215128,0.457939909,0.728151157,0.532281741,0.117517263,0.369820656,0.521479271,0.285609184,0.571013581,0.259185159
2019-12-01 1:57,voc 11 classes,./references/images_trimed_10,./references/all_10,cosine,3,voc 11,,0.400577343,0.504165927,0.314911289,0.522673651,0.66044671,0.513639388,0.111639488,0.292495513,0.36042921,0.357637557,0.666196654,0.205703966
2019-12-01 2:03,voc 11 classes,./references/images_trimed_10-1shot,./references/all_10,cosine,1,voc 11,,0.358988335,0.474224291,0.310185011,0.289792663,0.565885362,0.530155294,0.099850969,0.325372227,0.376291332,0.262858683,0.602395477,0.227096328
2019-12-01 3:19,voc 11 classes,./references/images_trimed_10,./references/all_10,cosine,10,voc 11,,0.437036522,0.496866205,0.39709596,0.569619778,0.71819748,0.523789317,0.183014965,0.454646176,0.479748204,0.290426082,0.553724724,0.200102529
2019-11-30 22:03,voc 11 classes,./references/images_trimed_10,./references/all_10,cosine,5,voc 11,,0.367337238,0.492741817,0.120632119,0.487664887,0.731139201,0.562516419,0.094043887,0.27032487,0.33834299,0.295042259,0.590588219,0.183077529
2019-11-30 22:35,voc 11 classes,./references/images_trimed_10,./references/all_10,cosine,5,voc 11,,0.381150928,0.500628331,0.226966772,0.493916634,0.742374062,0.430340942,0.095959596,0.364748187,0.288222032,0.327327541,0.589473316,0.2521802
2019-12-01 2:28,voc 11 classes,./references/images_trimed_10,./references/all_10,cosine,3,voc 11,,0.392797285,0.503086536,0.337602627,0.560735934,0.668096114,0.48562758,0.092640693,0.342269965,0.310407365,0.288794704,0.548195846,0.293602025
2019-12-01 2:35,voc 11 classes,./references/images_trimed_10-1shot,./references/all_10,cosine,1,voc 11,,0.358988335,0.474224291,0.310185011,0.289792663,0.565885362,0.530155294,0.099850969,0.325372227,0.376291332,0.262858683,0.602395477,0.227096328
2019-11-30 23:07,voc 11 classes,./references/images_trimed_10,./references/all_10,cosine,5,voc 11,,0.406099181,0.510460178,0.245579317,0.659418687,0.668696261,0.534429339,0.20851753,0.308264463,0.387096053,0.321895644,0.62709452,0.1
2019-12-01 1:17,voc 11 classes,./references/images_trimed_10,./references/all_10,cosine,5,voc 11,,0.415958491,0.502552847,0.385628161,0.436523731,0.652957475,0.529639498,0.093939394,0.343801653,0.466253656,0.339720202,0.588440438,0.322680704
2019-12-01 1:50,voc 11 classes,./references/images_trimed_10,./references/all_10,cosine,5,voc 11,,0.398997971,0.507411085,0.437110615,0.516559664,0.703631795,0.450758119,0.115530303,0.138664193,0.425283895,0.323877816,0.557806075,0.32075723
2019-12-01 3:00,voc 11 classes,./references/images_trimed_10,./references/all_10,cosine,3,voc 11,,0.352259053,0.4925154,0.358830788,0.502063328,0.712091688,0.348976087,0.098910917,0.279463555,0.113636364,0.278763758,0.579959972,0.249894078
2019-12-01 3:07,voc 11 classes,./references/images_trimed_10-1shot,./references/all_10,cosine,1,voc 11,,0.358988335,0.474224291,0.310185011,0.289792663,0.565885362,0.530155294,0.099850969,0.325372227,0.376291332,0.262858683,0.602395477,0.227096328
2019-12-01 2:22,voc 11 classes,./references/images_trimed_10,./references/all_10,cosine,5,voc 11,,0.413810464,0.51275198,0.394485163,0.395588884,0.700628844,0.607466786,0.161440535,0.437320225,0.31866173,0.286186662,0.579549224,0.256776583
2019-12-01 2:54,voc 11 classes,./references/images_trimed_10,./references/all_10,cosine,5,voc 11,,0.400851479,0.511795235,0.189836782,0.567532468,0.704003999,0.507273348,0.090909091,0.324365767,0.493068295,0.305298539,0.590384992,0.235841513
2019-12-01 3:26,voc 11 classes,./references/images_trimed_10,./references/all_10,cosine,5,voc 11,,0.376429313,0.491851519,0.260614918,0.534355067,0.639134324,0.462021343,0.133129593,0.35181861,0.412519215,0.202892562,0.587145024,0.180662475
2019-12-01 3:32,voc 11 classes,./references/images_trimed_10,./references/all_10,cosine,3,voc 11,,0.398796219,0.496159605,0.458843742,0.496589238,0.621513101,0.488092692,0.136062391,0.25117485,0.443256882,0.347534305,0.636028548,0.108866442
2019-12-01 3:38,voc 11 classes,./references/images_trimed_10-1shot,./references/all_10,cosine,1,voc 11,,0.358988335,0.474224291,0.310185011,0.289792663,0.565885362,0.530155294,0.099850969,0.325372227,0.376291332,0.262858683,0.602395477,0.227096328
